"","Datetime","AQI","PM2.5","PM10","SO2","CO","NO2","O3_8h","kmean"
"355",2016-09-19,47,16,40,12,0.7,20,94,2
"356",2016-09-20,49,17,41,12,0.6,29,98,2
"357",2016-09-21,48,15,29,12,0.6,38,94,2
"358",2016-09-22,52,16,28,13,0.6,39,102,2
"359",2016-09-23,60,27,37,14,0.6,48,100,2
"360",2016-09-24,87,32,44,12,0.6,32,144,1
"361",2016-09-25,85,34,46,11,0.6,33,142,2
"362",2016-09-26,41,26,38,11,0.6,30,82,2
"363",2016-09-27,32,18,32,12,0.5,23,36,2
"364",2016-09-28,37,13,24,10,0.5,20,74,2
"365",2016-09-29,38,12,23,9,0.6,25,76,2
"366",2016-09-30,75,37,50,10,0.9,60,58,4
"367",2016-10-01,70,51,76,13,1,43,94,4
"368",2016-10-02,45,22,32,13,0.6,23,90,2
"369",2016-10-03,47,26,27,11,0.9,28,93,2
"370",2016-10-04,39,17,31,10,0.6,24,77,2
"371",2016-10-05,51,35,51,12,0.7,27,89,2
"372",2016-10-06,72,24,44,10,0.6,20,126,2
"373",2016-10-07,58,24,49,11,0.7,46,82,2
"374",2016-10-08,55,16,33,11,0.5,21,105,2
"375",2016-10-09,43,10,37,11,0.4,19,85,2
"376",2016-10-10,48,10,32,11,0.4,24,96,2
"377",2016-10-11,53,12,29,12,0.5,29,103,2
"378",2016-10-12,70,29,50,14,0.6,28,123,2
"379",2016-10-13,46,20,42,12,0.5,35,92,2
"380",2016-10-14,50,26,46,13,0.6,40,92,2
"381",2016-10-15,45,16,41,13,0.5,36,88,2
"382",2016-10-16,68,45,63,17,0.9,54,99,4
"383",2016-10-17,48,33,37,17,0.7,32,94,2
"384",2016-10-18,55,18,31,12,0.6,33,105,2
"385",2016-10-19,54,28,53,13,0.7,43,87,2
"386",2016-10-20,53,23,31,12,0.6,42,73,2
"387",2016-10-21,38,8,12,10,0.5,25,75,2
"388",2016-10-22,29,5,9,9,0.5,21,57,2
"389",2016-10-23,48,20,38,10,0.6,21,95,2
"390",2016-10-24,47,20,38,12,0.6,37,92,2
"391",2016-10-25,62,33,48,15,1,49,42,4
"392",2016-10-26,70,24,21,11,0.9,56,78,4
"393",2016-10-27,54,15,23,10,0.6,43,80,2
"394",2016-10-28,47,23,30,11,0.7,37,65,2
"395",2016-10-29,37,15,37,10,0.5,24,69,2
"396",2016-10-30,39,13,38,10,0.5,30,78,2
"397",2016-10-31,49,16,31,11,0.6,39,65,2
"398",2016-11-01,42,14,28,10,0.4,23,84,2
"399",2016-11-02,78,28,53,13,0.6,62,83,4
"400",2016-11-03,104,63,96,19,1.1,87,96,3
"401",2016-11-04,101,67,87,16,0.9,81,132,4
"402",2016-11-05,101,70,95,16,0.9,82,126,4
"403",2016-11-06,89,64,68,17,0.9,71,94,4
"404",2016-11-07,65,35,41,14,0.6,52,71,4
"405",2016-11-08,41,15,30,10,0.6,22,81,2
"406",2016-11-09,37,14,32,10,0.5,27,73,2
"407",2016-11-10,75,35,54,15,0.8,60,47,4
"408",2016-11-11,83,49,82,19,0.9,66,68,4
"409",2016-11-12,69,36,71,14,0.7,55,100,4
"410",2016-11-13,85,52,68,12,0.9,68,32,4
"411",2016-11-14,113,85,102,19,1.2,70,79,3
"412",2016-11-15,60,43,69,14,0.8,33,90,4
"413",2016-11-16,69,14,37,13,0.6,55,67,2
"414",2016-11-17,73,17,23,12,0.6,58,49,2
"415",2016-11-18,88,65,85,14,1,65,89,4
"416",2016-11-19,144,110,130,23,1.7,96,21,3
"417",2016-11-20,58,41,32,12,1,34,64,4
"418",2016-11-21,68,29,45,13,0.9,54,50,4
"419",2016-11-22,38,9,16,10,0.6,23,75,2
"420",2016-11-23,47,18,21,12,0.6,37,53,2
"421",2016-11-24,67,48,53,20,1,52,58,4
"422",2016-11-25,82,42,53,17,0.8,65,37,4
"423",2016-11-26,73,32,33,14,1.1,58,42,4
"424",2016-11-27,128,97,126,40,1.6,80,64,3
"425",2016-11-28,80,59,108,22,1,59,81,4
"426",2016-11-29,83,20,44,14,0.7,66,51,4
"427",2016-11-30,104,50,83,18,1,87,26,4
"428",2016-12-01,128,97,131,27,1.3,69,93,3
"429",2016-12-02,73,27,48,14,0.8,58,79,4
"430",2016-12-03,75,24,44,14,0.7,60,85,4
"431",2016-12-04,106,79,119,23,1.3,92,62,3
"432",2016-12-05,159,121,159,25,1.5,94,72,3
"433",2016-12-06,64,35,62,16,0.8,51,66,4
"434",2016-12-07,128,97,129,26,1.3,99,56,3
"435",2016-12-08,169,128,156,24,1.4,115,120,3
"436",2016-12-09,115,87,96,22,1.1,67,95,3
"437",2016-12-10,45,16,30,14,0.6,36,70,2
"438",2016-12-11,44,14,30,14,0.6,35,71,2
"439",2016-12-12,87,30,58,15,1,69,39,4
"440",2016-12-13,64,33,52,13,0.8,51,60,4
"441",2016-12-14,38,19,38,13,0.5,28,65,2
"442",2016-12-15,84,62,79,27,1.1,59,62,4
"443",2016-12-16,185,139,150,38,1.7,88,75,3
"444",2016-12-17,142,108,136,23,1.3,81,80,3
"445",2016-12-18,101,41,83,16,1.3,81,55,4
"446",2016-12-19,107,62,93,21,1.4,94,30,3
"447",2016-12-20,69,42,46,14,0.8,55,71,4
"448",2016-12-21,70,31,37,13,0.9,56,36,4
"449",2016-12-22,118,89,113,16,1.5,57,57,3
"450",2016-12-23,175,132,126,26,1.8,63,62,3
"451",2016-12-24,52,22,30,14,0.7,41,62,2
"452",2016-12-25,65,17,23,13,0.7,52,51,2
"453",2016-12-26,69,17,20,11,1,55,54,4
"454",2016-12-27,42,28,42,13,0.8,30,66,2
"455",2016-12-28,65,35,50,17,0.9,52,43,4
"456",2016-12-29,84,62,79,19,1,49,74,4
"457",2016-12-30,97,50,69,17,1,77,42,4
"458",2016-12-31,104,45,66,22,1.2,88,32,4
"459",2017-01-01,82,34,48,19,1,65,66,4
"460",2017-01-02,92,68,75,22,1.2,65,48,4
"461",2017-01-03,127,96,95,18,1.2,74,73,3
"462",2017-01-04,90,52,56,21,1,72,73,4
"463",2017-01-05,55,26,24,13,0.9,44,85,2
"464",2017-01-06,63,21,27,13,0.7,52,54,2
"465",2017-01-07,58,16,15,13,0.9,48,68,2
"466",2017-01-08,104,77,73,16,1.8,54,12,3
"467",2017-01-09,85,64,70,22,1.3,44,71,4
"468",2017-01-10,107,80,82,19,1.3,54,77,3
"469",2017-01-11,50,30,40,15,0.8,41,77,2
"470",2017-01-12,92,56,62,17,1.1,74,38,4
"471",2017-01-13,130,99,111,31,1.4,69,65,3
"472",2017-01-14,38,22,33,15,0.7,30,77,2
"473",2017-01-15,34,12,24,13,0.6,27,69,2
"474",2017-01-16,51,17,27,14,0.7,42,71,2
"475",2017-01-17,91,40,52,18,0.9,72,50,4
"476",2017-01-18,66,35,40,16,0.8,52,66,4
"477",2017-01-19,103,79,89,21,1.1,63,71,3
"478",2017-01-20,93,67,98,19,1,33,79,4
"479",2017-01-21,70,36,46,16,0.9,58,76,4
"480",2017-01-22,65,44,65,21,1,52,72,4
"481",2017-01-23,43,22,36,17,0.8,35,86,2
"482",2017-01-24,51,29,40,18,0.8,41,95,4
"483",2017-01-25,73,55,61,18,0.9,42,103,4
"484",2017-01-26,72,53,52,17,0.9,46,115,4
"485",2017-01-27,64,42,75,13,0.8,29,82,4
"486",2017-01-28,61,27,72,12,0.6,25,106,2
"487",2017-01-29,80,57,63,14,1.1,32,93,4
"488",2017-01-30,42,22,39,10,0.6,13,82,2
"489",2017-01-31,41,11,19,9,0.5,16,83,2
"490",2017-02-01,45,31,37,12,0.7,20,90,2
"491",2017-02-02,43,21,30,11,0.6,23,86,2
"492",2017-02-03,55,16,24,12,0.7,45,52,2
"493",2017-02-04,78,55,52,12,1.2,64,19,4
"494",2017-02-05,148,116,115,14,1.5,57,58,3
"495",2017-02-06,91,66,65,12,0.9,31,97,4
